IPBES_region;IPBES_sub-region;IPBES_countries;KNMI_website_country_names;
;;Commonwealth_of_the_Northern_Mariana_Islands;N._Mariana_Is.;
;;Pitcairn_Island;Pitcairn_Is.;
;;Wallis_and_Futuna;Wallis_and_Futuna;
;;Oceanic_and_sub-Antartic_islands;US_Hawaii;
;;;Norfolk_Island;
;;;;
;South-East_Asia;Brunei_Darussalam;Brunei;
;;Cambodia;Cambodia;
;;Indonesia;Indonesia;
;;Lao_People's_Democratic_Republic;Laos;
;;Malaysia;Malaysia;
;;Myanmar;Myanmar;
;;Philippines;Philippines;
;;Singapore;Singapore;
;;Thailand;Thailand;
;;Timor-Leste;East_Timor;
;;;Ashmore_and_Cartier_Is.;
;;Viet_Nam;Vietnam;
;;;;
;North-East_Asia;China;China;
;;;Hong_Kong;
;;;Macau;
;;Democratic_People's_Republic_of_Korea;N._Korea;
;;Japan;Japan;
;;Mongolia;Mongolia;
;;Republic_of_Korea;S._Korea;
;;;;
;South_Asia;Afghanistan;Afghanistan;
;;Bangladesh;Bangladesh;
;;Bhutan;Bhutan;
;;India;India;
;;Iran;Iran;
;;Maldives;Maldives;
;;Nepal;Nepal;
;;Pakistan;Pakistan;
;;Sri_Lanka;Sri_Lanka;
;;;;
;Western_Asia;Bahrain;Bahrain;
;;Kuwait;Kuwait;
;;Oman;Oman;
;;Qatar;Qatar;
;;Saudi_Arabia;Saudi_Arabia;
;;United_Arab_Emirates;United_Arab_Emirates;
;;Yemen;Yemen;
;;Iraq;Iraq;
;;Jordan;Jordan;
;;Lebanon;Lebanon;
;;State_of_Palestine;Gaza;
;;Syrian_Arab_Republic;Syria;
;;;West_Bank;
;;;;
Europe;Central_Europe;Albania;Albania;
;;Bosnia_and_Herzegovina;Bosnia_and_Herz.;
;;Bulgaria;Bulgaria;
;;Croatia;Croatia;
;;Cyprus;Cyprus;
;;Czech_Republic;Czech_Rep.;
;;Estonia;Estonia;
;;Hungary;Hungary;
;;Latvia;Latvia;
;;Lithuania;Lithuania;
;;Montenegro;Montenegro;
;;Poland;Poland;
;;Romania;Romania;
;;Serbia;Serbia;
;;Slovakia;Slovakia;
;;Slovenia;Slovenia;
;;Macedonia;Macedonia;
;;Turkey;Turkey;
;;;Kosovo;
;;;;
;Western_Europe;Andorra;Andorra;
;;Austria;Austria;
;;Belgium;Belgium;
;;Denmark;Denmark;
;;;Greenland;
;;Finland;Finland;
;;;Aland;
;;France;France_metropolitan;
;;Germany;Germany;
;;Greece;Greece;
;;Iceland;Iceland;
;;Ireland;Ireland;
;;Israel;Israel;
;;Italy;Italy;
;;;Vatican;
;;Liechtenstein;Liechtenstein;
;;Luxembourg;Luxembourg;
;;Malta;Malta;
;;Monaco;Monaco;
;;Netherlands;Netherlands_without_Caribbean;
;;Norway;Norway;
;;Portugal;Portugal;
;;San_Marino;San_Marino;
;;Spain;Spain;
;;Sweden;Sweden;
;;Switzerland;Switzerland;
;;United_Kingdom_of_Great_Britain_and_Northern_Ireland;United_Kingdom;
;;;Faroe_Is.;
;;;Guernsey;
;;;Isle_of_Man;
;;;Jersey;
;;;;
;Eastern_Europe;Armenia;Armenia;
;;Azerbaijan;Azerbaijan;
;;Belarus;Belarus;
;;Georgia;Georgia;
;;Republic_of_Moldova;Moldova;
;;Russian_Federation;Russia;
;;Ukraine;Ukraine;
;;;;
;Central_Asia;Kazakhstan;Kazakhstan;
;;Kyrgyzstan;Kyrgyzstan;
;;Tajikistan;Tajikistan;
;;Turkmenistan;Turkmenistan;
;;Uzbekistan;Uzbekistan;
